"src_ip","dest_ip","dest_port",dvc,sourcetype
"10.223.251.209","10.221.161.113",135,"10.18.126.25","cisco:asa"
"10.223.251.209 10.223.252.209 10.223.252.211","10.221.161.113",389,"10.18.126.25","cisco:asa"
"10.236.63.226","10.221.161.113",49675,"10.236.251.204","cisco:asa"
"10.236.127.230","10.221.161.113",49669,"10.236.251.244","cisco:asa"
"10.236.127.230","10.221.161.113",135,"10.236.251.245","cisco:asa"
"10.236.127.230","10.221.161.113",135,"10.236.251.246","cisco:asa"
"167.69.90.10","10.223.252.198",135,"206.213.247.22","cp_log"
"167.69.90.10","10.223.252.198",389,"206.213.247.22","cp_log"
"167.69.90.10","10.223.252.199",53992,"206.213.247.22","cp_log"
"167.69.90.10","10.223.252.199",63324,"206.213.247.22","cp_log"
"167.69.91.18","10.228.8.60",49671,"206.213.247.22","cp_log"
"167.69.211.228","10.236.127.227",3268,"206.213.247.22","cp_log"
"10.221.161.107","10.236.127.233",3268,"10.236.251.246","cisco:asa"
"10.8.2.2","10.236.127.234",3268,"10.236.251.245","cisco:asa"
"10.221.161.108 10.8.2.2","10.236.127.234",3268,"10.236.251.246","cisco:asa"
"10.221.161.108","10.236.127.234",3268,"10.236.251.247","cisco:asa"
"10.220.188.81","10.236.63.230",3268,"10.236.251.205","cisco:asa"
"10.221.161.110","10.236.63.231",3268,"10.236.251.206","cisco:asa"
"167.69.33.68","10.236.63.234",3268,"206.213.247.22","cp_log"
"10.159.17.197","10.236.63.235",3268,"10.236.251.204","cisco:asa"
"10.46.84.11","10.42.84.11",53,"10.46.193.57","cisco:asa"
"10.46.84.11","10.42.84.12",135,"10.46.193.57","cisco:asa"
"10.46.84.11","10.42.84.12",53,"10.46.193.57","cisco:asa"
"10.47.208.138","10.46.12.24",135,"10.46.193.57","cisco:asa"
"10.47.208.143","10.46.84.11",135,"10.46.193.55","cisco:asa"
"10.47.208.142 10.47.208.143","10.46.84.12",135,"10.46.193.55","cisco:asa"
"10.236.63.235","10.47.208.130",135,"10.236.251.207","cisco:asa"
